PSRJ,P0,P1
J0656-5449,0.183156899,3.19E-17
J0658+0022,0.563294925,9.15E-15
J0659+1414,0.384928623,5.49E-14
J0700+6418,0.195670945,6.85E-19
J0709+0458,0.034428978,3.80E-19
J0709-5923,0.485268384,1.26E-16
J0711+0931,1.214090492,4.00E-16
J0711-6830,0.005490969,1.49E-20
J0719-2545,0.974724731,7.28E-15
J0720-3125,8.391115532,6.98E-14
J0721-2038,0.015542395,4.40E-20
J0725-1635,0.424311403,9.26E-17
J0726-2612,3.442308488,2.93E-13
J0729-1448,0.251658714,1.13E-13
J0729-1836,0.510160345,1.90E-14
J0732+2314,0.004090137,6.02E-21
J0733-2345,1.796249701,5.70E-15
J0734-1559,0.15625,1.22E-14
J0736-6304,4.862873961,1.52E-13
J0737-2202,0.32036637,5.47E-15
J0737-3039A,0.022699379,1.76E-18
J0737-3039B,2.77346077,8.92E-16
J0738+6904,6.827692802,2.70E-14
J0738-4042,0.374920736,1.38E-15
J0740+6620,0.002885736,1.22E-20
J0742+4334,0.60619068,3.71E-16
J0742-2822,0.166762292,1.68E-14
J0744-2525,0.09199632,9.56E-16
J0745-5353,0.214838506,2.19E-15
J0746-4529,2.791025178,1.67E-14
J0747+6646,0.407700524,6.78E-16
J0749-4247,1.095452158,9.77E-16
J0750-6846,0.915215804,1.10E-16
J0751+1807,0.003478771,7.79E-21
J0754+3231,1.442349479,1.08E-15
J0758-1528,0.682265176,1.62E-15
J0802-5613,0.273972603,2.76E-15
J0803-0942,0.571256559,1.16E-15
J0804-3647,2.191986896,4.21E-15
J0806-4123,11.37038593,5.56E-14
J0807-5421,0.526643531,3.78E-16
J0808-3937,0.866349285,4.01E-16
J0809-4753,0.547202119,3.08E-15
J0812-3905,0.482595929,4.49E-17
J0814+7429,1.292241447,1.68E-16
J0815+0939,0.645161191,1.39E-16
J0815+4611,0.434242252,3.90E-18
J0818-3049,0.763741848,5.80E-16
J0818-3232,2.161258927,7.53E-16
J0820-1350,1.238129544,2.11E-15
J0820-3826,0.124836674,2.44E-15
J0820-3921,1.073566584,1.22E-14
J0820-4114,0.54544556,1.98E-17
J0821-4221,0.396728235,3.48E-15
J0821-4300,0.112799455,9.28E-18
J0823+0159,0.864872805,1.05E-16
J0824+0028,0.009861349,1.47E-19
J0826+2637,0.530660512,1.71E-15
J0828-3417,1.848918804,9.96E-16
J0831-4406,0.311673518,1.28E-15
J0834-4159,0.121117759,4.28E-15
J0835-3707,0.541404374,9.78E-15
J0835-4510,0.089328385,1.25E-13
J0836-4233,0.738435606,1.32E-15
J0837+0610,1.273768292,6.80E-15
J0837-4135,0.751625423,3.54E-15
J0838-2621,0.308580662,3.90E-17
J0838-3947,1.703945706,8.13E-16
J0840-5332,0.720613772,1.64E-15
J0842-4851,0.64435362,9.56E-15
J0843-5022,0.208955693,1.72E-16
J0846-3533,1.116098409,1.60E-15
J0847-4316,5.977492737,1.20E-13
J0849+8028,1.602227974,4.46E-16
J0849-6322,0.367953256,7.91E-16
J0854+5449,1.233032602,3.12E-16
J0855-3331,1.267535703,6.32E-15
J0855-4644,0.064686131,7.26E-15
J0855-4658,0.575072383,1.36E-14
J0856-6137,0.962510611,1.68E-15
J0857+3349,0.242961077,2.40E-16
J0857-4424,0.326786221,2.09E-14
J0900-3144,0.011109649,4.89E-20
J0901-4624,0.441995131,8.75E-14
J0902-6325,0.660313372,1.07E-16
J0904-4246,0.965173295,1.88E-15
J0904-7459,0.549553679,4.61E-16
J0905-4536,0.988280597,1.49E-16
J0905-5127,0.346301153,2.49E-14
J0905-6019,0.340854177,5.22E-16
J0907-5157,0.253557725,1.83E-15
J0908-1739,0.401625623,6.69E-16
J0908-4913,0.106769037,1.51E-14
J0909-7212,1.362890351,3.27E-16
J0912-3851,1.526085076,3.59E-15
J0919-6040,1.216975723,1.00E-17
J0921+6254,1.567994018,3.61E-15
J0922+0638,0.430627099,1.37E-14
J0922-4949,0.950288537,9.76E-14
J0924-5302,0.746338052,3.53E-14
J0924-5814,0.73950547,4.92E-15
J0927+2345,0.761889236,3.05E-16
J0930-2301,1.807068678,3.36E-15
J0931-1902,0.004638029,3.63E-21
J0932-3217,1.931626743,2.50E-16
J0932-5327,4.392158713,8.37E-15
J0934-4154,0.570409236,2.69E-16
J0934-5249,1.444777141,4.65E-15
J0940-5428,0.087545204,3.29E-14
J0941-5244,0.658557614,1.14E-15
J0942-5552,0.664388681,2.27E-14
J0942-5657,0.808164371,3.96E-14
J0943+1631,1.087417728,9.11E-17
J0943+2253,0.532974706,8.98E-17
J0944+4106,2.229431267,4.42E-15
J0944-1354,0.570264125,4.53E-17
J0945-4833,0.331585599,4.83E-15
J0946+0951,1.097705705,3.49E-15
J0947+2740,0.851013803,4.30E-16
J0949-6902,0.640015724,6.37E-16
J0952-0607,0.001413798,4.77E-21
J0952-3839,1.373815121,5.80E-16
J0953+0755,0.253065165,2.30E-16
J0954-5430,0.472850559,4.39E-14
J0955-5304,0.862122011,3.53E-15
J0955-6150,0.001999,1.43E-20
J0957-5432,0.203556698,1.95E-15
J0959-4809,0.670085874,8.47E-17
J1000-5149,0.255677098,9.60E-16
J1001-5507,1.436630854,5.16E-14
J1001-5559,1.66117674,8.60E-16
J1001-5939,7.733640265,5.99E-14
J1002-5559,0.777500907,1.57E-15
J1002-5919,0.713489254,1.04E-16
J1003-4747,0.307074219,2.07E-15
J1006-6311,0.835797468,5.73E-16
J1012+5307,0.005255749,1.71E-20
J1012-2337,2.517945021,8.81E-16
J1012-5830,2.133591214,3.77E-14
J1012-5857,0.819926245,1.78E-14
J1013-5934,0.442900936,5.56E-16
J1015-5719,0.139881678,5.74E-14
J1016-5345,0.769585867,1.93E-15
J1016-5819,0.087834261,6.99E-16
J1016-5857,0.107386458,8.08E-14
J1017+3011,0.452785073,5.70E-16
J1017-5621,0.50346262,3.14E-15
J1017-7156,0.002338514,2.21E-21
J1018-1642,1.804694946,1.74E-15
J1019-5749,0.16249871,2.01E-14
J1020-5921,1.238305344,4.05E-14
J1020-6026,0.14048129,6.74E-15
J1021-5601,0.670026298,5.34E-17
J1022+1001,0.01645293,4.33E-20
J1022-5813,1.643726002,1.45E-13
J1023+0038,0.001687987,6.93E-21
J1023-5746,0.111472434,3.84E-13
J1024-0719,0.005162205,1.86E-20
J1028-5819,0.091403231,1.61E-14
J1031-6117,0.306410837,1.78E-15
